CH1;CH2;CH3;CH4;CH5;CH6
85=248.14,17.7445,-45.1409,46.3397,-329.064,-11.214
86=248.14,18.0558,-44.8338,46.6466,-329.687,-10.9025
87=247.829,17.7445,-45.1409,46.6466,-329.064,-10.9025
88=248.14,18.3671,-44.5267,47.2604,-329.375,-10.9025
89=248.451,18.3671,-45.1409,46.9535,-329.687,-10.9025
90=247.829,18.0558,-45.1409,46.6466,-329.375,-10.591
91=248.14,18.0558,-45.1409,46.3397,-328.752,-10.9025
92=247.829,17.4332,-45.1409,46.9535,-329.375,-11.837
93=248.451,17.4332,-45.1409,46.0328,-328.129,-11.214
94=247.517,17.7445,-44.5267,45.7259,-328.129,-11.5255
95=247.517,17.7445,-44.5267,45.7259,-328.441,-11.214
96=246.895,18.0558,-44.8338,46.0328,-328.129,-11.214
97=247.829,18.0558,-44.5267,46.0328,-328.129,-11.214
98=247.206,17.7445,-44.5267,46.6466,-328.129,-11.5255
99=247.829,18.3671,-44.8338,46.0328,-328.441,-10.9025
100=247.829,17.7445,-44.5267,46.3397,-328.752,-11.214
101=248.14,17.7445,-44.5267,46.0328,-328.441,-10.9025
102=247.517,17.7445,-45.1409,46.3397,-329.064,-11.214
103=248.14,18.0558,-44.8338,46.0328,-329.064,-11.5255
104=247.206,17.7445,-44.5267,45.4191,-329.064,-11.5255
105=248.451,18.0558,-45.1409,46.0328,-329.064,-11.5255
106=247.829,17.7445,-44.8338,46.0328,-328.752,-11.214
107=248.14,17.7445,-45.4479,45.7259,-329.375,-11.5255
108=247.829,18.0558,-44.2196,46.6466,-329.375,-11.214
109=247.517,18.3671,-44.8338,46.6466,-329.064,-11.5255
110=247.829,18.3671,-44.8338,46.6466,-329.687,-10.591
111=248.14,18.6784,-44.8338,46.9535,-329.375,-9.96801
112=248.14,18.6784,-45.1409,46.9535,-329.687,-9.65651
113=248.14,18.3671,-45.1409,46.6466,-329.687,-10.2795
114=247.829,18.0558,-44.2196,46.3397,-329.375,-10.591
115=247.829,18.3671,-44.8338,46.0328,-329.375,-10.9025
116=248.763,18.0558,-45.1409,46.0328,-329.687,-11.5255
117=248.451,17.4332,-45.1409,46.6466,-329.687,-11.214
118=247.829,17.7445,-45.1409,46.3397,-329.375,-11.214
119=247.829,17.7445,-44.8338,47.2604,-329.687,-10.591
120=247.829,18.3671,-44.8338,46.3397,-329.687,-10.591
121=247.829,18.6784,-44.2196,46.6466,-329.999,-10.2795
122=248.14,18.3671,-44.8338,47.2604,-329.375,-9.34501
123=247.829,18.3671,-44.5267,47.2604,-329.687,-9.96801
124=248.14,18.0558,-45.1409,46.9535,-329.687,-10.2795
125=247.517,17.4332,-45.1409,46.9535,-330.31,-10.9025
126=248.451,18.0558,-44.8338,46.6466,-329.999,-10.9025
127=248.14,17.7445,-44.8338,46.3397,-329.687,-11.5255
128=248.451,17.7445,-45.1409,46.3397,-329.999,-11.5255
129=248.451,17.7445,-45.1409,46.0328,-329.999,-11.5255
130=248.14,18.0558,-44.8338,46.3397,-330.31,-10.9025
131=248.14,18.3671,-44.8338,46.9535,-330.622,-10.2795
132=248.451,18.6784,-45.1409,46.9535,-330.31,-10.2795
133=248.451,18.3671,-44.8338,46.9535,-330.622,-9.96801
134=248.451,17.4332,-44.8338,46.6466,-329.687,-10.2795
135=248.14,18.0558,-45.1409,46.6466,-329.687,-9.96801
136=248.763,18.0558,-44.8338,46.6466,-329.999,-10.591
137=248.451,18.0558,-45.1409,46.0328,-329.687,-10.9025
138=248.451,17.7445,-44.5267,46.3397,-329.375,-11.214
139=248.14,18.0558,-45.1409,46.3397,-329.064,-11.214
140=248.14,17.4332,-44.8338,46.6466,-329.064,-11.214
141=247.517,17.7445,-44.8338,46.6466,-328.752,-11.214
142=247.829,18.0558,-44.8338,46.3397,-328.752,-10.591
143=247.206,18.3671,-44.8338,47.2604,-329.064,-10.591
144=247.829,18.3671,-44.5267,46.6466,-329.064,-10.9025
145=247.829,18.3671,-44.8338,46.9535,-329.375,-9.96801
146=247.829,18.0558,-44.8338,46.6466,-329.375,-10.591
147=247.829,18.0558,-44.5267,46.3397,-329.064,-10.591
148=248.451,18.0558,-45.1409,46.3397,-329.375,-10.9025
149=248.451,17.7445,-45.4479,45.7259,-329.064,-11.214
150=248.14,17.1219,-45.1409,46.0328,-329.375,-11.5255
151=248.451,17.7445,-44.8338,45.7259,-329.064,-12.1485
152=248.451,17.7445,-44.8338,46.3397,-329.064,-11.837
153=248.14,17.4332,-45.1409,46.3397,-328.441,-11.5255
154=247.829,17.7445,-44.8338,46.6466,-328.752,-11.5255
155=247.517,18.0558,-44.8338,46.6466,-328.441,-10.9025
156=247.206,18.0558,-44.5267,46.9535,-328.441,-10.591
157=247.829,18.6784,-44.2196,46.6466,-328.752,-10.9025
158=248.14,18.0558,-44.5267,46.3397,-328.441,-10.2795
159=248.14,18.0558,-44.8338,46.0328,-328.752,-11.214
160=248.14,18.0558,-44.8338,46.3397,-328.752,-11.214
161=247.829,17.7445,-45.1409,46.3397,-329.064,-11.837
162=248.14,16.8106,-45.4479,45.7259,-328.441,-12.1485
163=247.829,18.0558,-44.5267,45.4191,-329.064,-11.837
164=248.451,17.7445,-44.8338,46.3397,-329.064,-12.1485
165=247.829,18.0558,-44.5267,46.6466,-328.752,-10.591
166=247.517,18.3671,-44.8338,46.3397,-329.064,-10.2795
167=247.829,18.3671,-44.5267,47.2604,-328.441,-9.96801
168=247.206,18.6784,-44.8338,46.9535,-328.752,-10.2795
169=247.829,18.3671,-44.8338,46.9535,-328.752,-10.2795
170=248.14,18.3671,-45.1409,46.3397,-328.752,-10.9025
171=247.829,17.4332,-44.8338,46.0328,-329.687,-10.9025
172=248.14,17.4332,-44.8338,45.7259,-329.687,-11.5255
173=248.14,18.3671,-44.8338,45.7259,-329.999,-11.5255
174=248.451,18.0558,-44.5267,46.3397,-329.999,-10.9025
175=248.763,17.4332,-44.8338,46.3397,-329.687,-10.591
176=248.451,18.0558,-45.1409,46.9535,-329.687,-10.9025
177=248.14,18.6784,-44.5267,46.9535,-329.999,-9.96801
178=248.14,18.6784,-44.8338,47.2604,-329.687,-10.591
179=248.14,18.3671,-44.8338,46.9535,-329.999,-9.96801
180=247.829,17.7445,-45.1409,46.6466,-329.687,-10.2795
181=248.451,18.3671,-44.8338,46.3397,-329.687,-10.591
182=247.829,18.0558,-44.5267,46.0328,-329.375,-10.591
183=247.517,18.0558,-45.1409,46.0328,-329.064,-10.9025
184=248.14,18.0558,-45.1409,46.3397,-329.375,-10.591
185=248.14,18.3671,-44.8338,46.3397,-329.375,-11.214
186=247.829,17.7445,-44.5267,46.3397,-329.687,-10.9025
187=248.14,18.0558,-45.4479,46.3397,-329.687,-10.591
188=248.14,18.0558,-44.8338,46.6466,-329.375,-10.591
189=247.517,18.6784,-45.1409,46.6466,-329.999,-10.591
190=248.451,18.0558,-45.1409,46.0328,-329.687,-10.9025
191=247.829,17.4332,-44.5267,46.3397,-329.687,-10.9025
192=247.517,18.0558,-45.1409,46.0328,-329.064,-11.214
193=247.829,17.7445,-45.1409,46.3397,-329.064,-11.214
194=248.451,17.4332,-44.5267,46.3397,-329.687,-11.214
195=248.14,17.7445,-44.8338,46.3397,-329.375,-10.9025
196=247.829,17.7445,-44.8338,46.6466,-329.687,-11.214
197=248.451,18.3671,-44.8338,46.6466,-329.064,-11.214
198=248.451,18.0558,-44.5267,46.3397,-329.687,-10.9025
199=247.829,17.7445,-44.5267,46.6466,-329.999,-10.9025
200=248.14,17.7445,-44.8338,46.3397,-329.999,-10.591
201=248.14,17.7445,-44.8338,46.9535,-329.687,-10.591
202=248.14,18.0558,-44.5267,46.9535,-329.375,-11.214
203=248.451,18.3671,-45.4479,46.3397,-329.375,-10.2795
204=248.14,18.0558,-44.8338,46.3397,-329.375,-10.9025
205=248.451,17.4332,-44.5267,46.6466,-329.375,-10.9025
206=247.829,17.7445,-44.5267,46.6466,-329.999,-10.9025
207=247.517,17.7445,-44.8338,46.3397,-328.752,-10.9025
208=248.451,17.7445,-44.8338,46.3397,-329.064,-10.9025
209=247.829,18.3671,-44.5267,46.6466,-328.752,-10.2795
210=247.206,18.0558,-44.5267,46.3397,-328.441,-10.591
211=247.517,17.7445,-44.5267,46.6466,-328.441,-10.9025
212=247.517,18.6784,-44.8338,46.6466,-328.752,-11.214
213=247.829,18.3671,-44.8338,46.3397,-328.441,-11.214
214=247.829,17.7445,-44.8338,46.6466,-328.752,-11.214
215=247.829,18.0558,-44.8338,46.0328,-328.752,-11.5255
216=247.829,18.0558,-44.5267,46.6466,-329.375,-11.214
217=248.14,18.3671,-45.1409,46.3397,-329.064,-11.214
218=248.14,18.0558,-44.8338,46.6466,-329.064,-11.5255
219=248.451,18.0558,-44.8338,46.6466,-329.687,-11.5255
220=248.451,18.0558,-44.5267,46.3397,-329.375,-11.5255
221=248.451,17.7445,-45.4479,46.3397,-329.687,-11.837
222=248.14,18.0558,-44.8338,46.3397,-329.687,-11.837
223=248.14,18.0558,-44.8338,46.3397,-329.064,-11.214
224=247.517,18.0558,-44.5267,46.0328,-329.064,-11.5255
225=247.829,17.7445,-44.8338,46.6466,-329.375,-10.9025
226=247.829,18.0558,-45.1409,46.3397,-329.064,-10.9025
227=246.895,18.6784,-44.2196,46.6466,-329.064,-10.591
228=247.829,18.0558,-44.8338,46.9535,-329.064,-10.591
229=247.517,18.0558,-44.5267,46.3397,-329.064,-10.9025
230=247.517,18.0558,-44.8338,46.3397,-328.752,-10.2795
231=247.517,18.0558,-44.5267,46.3397,-328.752,-10.591
232=247.517,18.0558,-44.8338,46.6466,-329.064,-11.214
233=248.14,17.7445,-44.5267,46.6466,-329.375,-10.9025
234=247.829,17.4332,-44.8338,46.6466,-329.064,-10.9025
235=248.763,17.7445,-44.8338,46.9535,-329.999,-10.591
236=247.829,18.6784,-44.8338,46.6466,-329.375,-10.591
237=247.829,18.0558,-44.8338,46.9535,-329.375,-10.591
238=248.451,18.0558,-45.1409,46.6466,-329.064,-10.9025
239=248.14,18.0558,-45.1409,46.3397,-329.687,-10.9025
240=248.14,18.0558,-45.1409,46.3397,-329.064,-11.214
241=248.14,18.0558,-44.8338,46.3397,-329.375,-11.214
242=248.451,18.0558,-44.8338,46.0328,-329.064,-11.837
243=248.14,17.4332,-44.5267,46.0328,-329.064,-11.5255
244=248.14,18.0558,-44.8338,46.3397,-329.375,-11.5255
245=247.829,18.3671,-45.1409,46.6466,-329.687,-11.214
246=247.829,17.4332,-45.1409,46.3397,-329.687,-11.214
247=248.14,18.0558,-44.5267,46.6466,-329.064,-11.214
248=248.14,17.7445,-44.8338,46.3397,-329.999,-11.214
249=248.451,18.3671,-44.8338,46.9535,-329.687,-10.591
250=248.14,18.0558,-44.8338,46.6466,-329.999,-11.214
251=248.14,17.7445,-44.8338,46.6466,-329.687,-10.591
252=248.451,18.0558,-44.8338,46.3397,-329.999,-10.2795
253=248.14,18.3671,-44.8338,46.6466,-329.999,-10.591
254=248.451,18.3671,-44.8338,47.2604,-329.999,-9.96801
255=247.829,18.3671,-44.8338,46.3397,-329.999,-10.2795
256=247.517,18.0558,-44.5267,46.6466,-329.375,-10.2795
257=248.451,18.3671,-45.1409,46.9535,-329.064,-9.96801
258=247.829,18.3671,-44.8338,46.0328,-329.064,-10.591
259=247.206,18.0558,-44.5267,46.6466,-329.064,-10.2795
260=247.517,18.3671,-44.5267,46.3397,-329.064,-10.591
261=247.206,17.7445,-44.5267,46.6466,-329.064,-10.9025
262=247.829,18.0558,-45.1409,46.6466,-328.441,-10.9025
263=247.829,18.3671,-44.8338,46.6466,-329.064,-11.5255
264=248.14,18.0558,-44.8338,46.3397,-329.064,-11.5255
265=248.14,17.7445,-45.1409,46.6466,-329.687,-10.9025
266=248.14,17.7445,-44.8338,46.0328,-329.687,-11.214
267=248.14,18.0558,-44.8338,46.0328,-329.999,-11.5255
268=248.451,17.4332,-44.8338,46.3397,-329.999,-11.5255
269=247.829,17.4332,-45.1409,46.6466,-329.687,-11.214
270=248.14,17.7445,-44.5267,46.3397,-329.687,-11.5255
271=248.14,17.7445,-44.8338,46.3397,-329.687,-11.214
272=247.829,18.0558,-44.5267,46.6466,-329.375,-10.9025
273=248.14,17.7445,-44.5267,46.6466,-329.064,-10.591
274=248.14,18.0558,-44.8338,46.6466,-328.752,-10.591
275=247.517,18.0558,-45.1409,46.0328,-328.752,-10.591
276=247.829,18.0558,-44.8338,46.3397,-328.441,-10.9025
277=247.517,17.7445,-45.1409,45.7259,-328.129,-11.214
278=247.517,18.0558,-45.1409,45.7259,-328.129,-10.591
